Stn,Block,Grid,Date,Surveyors,Sampled,Y0Count,Y0Weight,Y1Count,Y1Weight,Y2Count,Y2Weight,Y3Count,Y3Weight,Substrata,Media,Easting,Northing,fifteen
1,NoA,250m,06/04/2020,VS_AP,Y,0,0,3,5,0,0,0,0,sand,5,245000,200000,0
2,NoA,250m,06/04/2020,VS_AP,Y,0,0,25,13,0,0,0,0,sand,5,245250,200000,0
3,NoA,250m,06/04/2020,VS_AP,Y,0,0,3,3,1,6,0,0,sand,5,245500,200000,6
4,NoA,250m,06/04/2020,VS_AP,Y,0,0,252,122,54,119,0,0,sand,5,245750,200000,120
5,NoA,250m,06/04/2020,VS_AP,Y,0,0,12,8,6,22,0,0,sand,5,246000,200000,22
6,NoA,250m,06/04/2020,VS_AP,Y,0,0,0,0,0,0,0,0,sand,5,245000,199750,0
7,NoA,250m,06/04/2020,VS_AP,Y,0,0,0,0,0,0,0,0,sand,5,245250,199750,0
8,NoA,250m,06/04/2020,VS_AP,Y,0,0,89,87,12,67,0,0,sand,5,245500,199750,87
26,SB,250m,09/04/2020,VS_AP,Y,0,0,0,0,0,0,0,0,rocks,6,245000,196500,0
32,SB,250m,09/04/2020,VS_AP,N,,,,,,,,,channel,7,245250,197000,
33,SB,250m,09/04/2020,VS_AP,Y,0,0,38,19,2,8,0,0,sand,5,245250,196750,8
34,SB,250m,09/04/2020,VS_AP,Y,0,0,1,1,1,4,0,0,sand,5,245250,196500,4
35,NB,250m,06/04/2020,VS_AP,N,,,,,,,,,channel,7,245500,199250,
42,SB,250m,09/04/2020,VS_AP,Y,0,0,0,0,0,0,0,0,sand,5,245500,196750,0
43,SB,250m,09/04/2020,VS_AP,Y,0,0,1,1,3,8,0,0,sand,5,245500,196500,8
44,SB,250m,09/04/2020,VS_AP,Y,0,0,0,0,0,0,0,0,sand,5,245500,196250,0
45,SB,250m,09/04/2020,VS_AP,Y,0,0,0,0,0,0,0,0,mud,2,245500,196000,0
46,SB,250m,09/04/2020,VS_AP,Y,0,0,0,0,0,0,0,0,saltmarsh,1,245500,195750,0
48,NB,250m,06/04/2020,VS_AP,N,,,,,,,,,channel,7,245750,199750,
49,NB,250m,06/04/2020,VS_AP,N,,,,,,,,,channel,7,245750,199250,
50,NB,250m,06/04/2020,VS_AP,N,,,,,,,,,channel,7,245750,199000,
56,SD,250m,09/04/2020,VS_AP,N,,,,,,,,,channel,7,245750,196750,
57,SD,250m,09/04/2020,VS_AP,N,,,,,,,,,channel,7,245750,196500,
58,SB,250m,09/04/2020,VS_AP,Y,0,0,0,0,0,0,0,0,fine_sand,4,245750,196250,0
59,SC,250m,09/04/2020,VS_AP,Y,0,0,9,5,11,20,13,36,mud,2,245750,196000,57
60,SC,250m,09/04/2020,VS_AP,Y,0,0,0,0,0,0,1,3,muddy_sand,3,245750,195750,3
61,SC,250m,09/04/2020,VS_AP,Y,0,0,0,0,0,0,0,0,muddy_sand,3,245750,195500,0
62,NB,250m,06/04/2020,VS_AP,N,,,,,,,,,channel,7,246000,199750,
63,NB,250m,06/04/2020,VS_AP,N,,,,,,,,,channel,7,246000,199500,
64,NB,250m,06/04/2020,VS_AP,N,,,,,,,,,channel,7,246000,199250,
65,ND,250m,29/03/2020,VS_AP,N,,,,,,,,,channel,7,246000,199000,
70,SD,250m,09/04/2020,VS_AP,N,,,,,,,,,channel,7,246000,196750,
71,SD,250m,09/04/2020,VS_AP,N,,,,,,,,,channel,7,246000,196500,
72,SC,250m,09/04/2020,VS_AP,Y,0,0,0,0,0,0,0,0,rocks,6,246000,196250,0
73,SC,250m,09/04/2020,VS_AP,Y,0,0,0,0,0,0,0,0,mud,2,246000,195750,0
74,SC,250m,09/04/2020,VS_AP,Y,0,0,49,11,10,16,11,44,sand,5,246000,195500,56
75,SC,250m,09/04/2020,VS_AP,Y,0,0,0,0,1,1,0,0,sand,5,246000,195250,1
76,NB,250m,06/04/2020,VS_AP,Y,0,0,0,0,0,0,0,0,sand,5,246250,199750,0
77,NC,250m,06/04/2020,VS_AP,N,,,,,,,,,channel,7,246250,199500,
78,NC,250m,06/04/2020,VS_AP,Y,0,0,0,0,0,0,0,0,sand,5,246250,199250,0
79,ND,250m,29/03/2020,VS_AP,N,,,,,,,,,channel,7,246250,199000,
80,ND,250m,29/03/2020,VS_AP,N,,,,,,,,,channel,7,246250,198750,
81,ND,250m,29/03/2020,VS_AP,N,,,,,,,,,channel,7,246250,198500,
86,SD,250m,09/04/2020,VS_AP,N,,,,,,,,,channel,7,246250,196750,
87,SD,250m,09/04/2020,VS_AP,Y,0,0,0,0,0,0,0,0,sand,5,246250,196500,0
88,SE,250m,08/04/2020,VS_AP,Y,0,0,0,0,0,0,0,0,sand,5,246250,196250,0
89,SE,250m,08/04/2020,VS_AP,N,,,,,,,,,channel,7,246250,196000,
90,SC,250m,09/04/2020,VS_AP,Y,0,0,0,0,0,0,0,0,sand,5,246250,195750,0
91,SC,250m,09/04/2020,VS_AP,Y,0,0,0,0,2,2,5,12,muddy_sand,3,246250,195500,14
92,SC,250m,09/04/2020,VS_AP,Y,0,0,0,0,0,0,0,0,saltmarsh,1,246250,195250,0
95,NB,250m,06/04/2020,VS_AP,Y,0,0,0,0,0,0,0,0,sand,5,246500,200000,0
96,NB,250m,06/04/2020,VS_AP,Y,0,0,0,0,1,4,0,0,sand,5,246500,199750,4
97,NC,250m,06/04/2020,VS_AP,Y,0,0,0,0,0,0,0,0,sand,5,246500,199500,0
98,NC,250m,06/04/2020,VS_AP,Y,0,0,0,0,0,0,0,0,sand,5,246500,199250,0
99,NC,250m,06/04/2020,VS_AP,Y,0,0,0,0,0,0,0,0,sand,5,246500,199000,0
100,ND,250m,29/03/2020,VS_AP,N,,,,,,,,,channel,7,246500,198750,
101,ND,250m,29/03/2020,VS_AP,N,,,,,,,,,channel,7,246500,198500,
104,SD,250m,09/04/2020,VS_AP,N,,,,,,,,,channel,7,246500,196750,
105,SD,250m,09/04/2020,VS_AP,Y,0,0,0,0,0,0,0,0,sand,5,246500,196500,0
106,SE,250m,08/04/2020,VS_AP,Y,0,0,0,0,0,0,0,0,sand,5,246500,196250,0
107,SE,250m,08/04/2020,VS_AP,Y,0,0,0,0,0,0,0,0,sand,5,246500,196000,0
108,SE,250m,08/04/2020,VS_AP,Y,0,0,0,0,0,0,0,0,sand,5,246500,195750,0
109,SG,250m,09/04/2020,VS_AP,Y,0,0,0,0,0,0,1,2,sand,5,246500,195500,2
112,NB,250m,06/04/2020,VS_AP,Y,0,0,0,0,0,0,0,0,sand,5,246750,200000,0
113,NC,250m,06/04/2020,VS_AP,Y,0,0,0,0,0,0,0,0,sand,5,246750,199750,0
114,NC,250m,06/04/2020,VS_AP,Y,0,0,0,0,0,0,0,0,sand,5,246750,199500,0
115,NC,250m,06/04/2020,VS_AP,Y,0,0,0,0,0,0,0,0,sand,5,246750,199250,0
116,NC,250m,06/04/2020,VS_AP,Y,0,0,0,0,0,0,0,0,sand,5,246750,199000,0
117,ND,250m,29/03/2020,VS_AP,N,,,,,,,,,channel,7,246750,198750,
118,ND,250m,29/03/2020,VS_AP,N,,,,,,,,,channel,7,246750,198500,
119,ND,250m,29/03/2020,VS_AP,N,,,,,,,,,channel,7,246750,198250,
121,SD,250m,09/04/2020,VS_AP,N,,,,,,,,,channel,7,246750,196750,
122,SD,250m,09/04/2020,VS_AP,Y,0,0,0,0,0,0,0,0,sand,5,246750,196500,0
123,SE,250m,08/04/2020,VS_AP,Y,0,0,0,0,0,0,0,0,sand,5,246750,196250,0
124,SE,250m,08/04/2020,VS_AP,Y,0,0,0,0,0,0,0,0,sand,5,246750,196000,0
125,SE,250m,08/04/2020,VS_AP,Y,0,0,0,0,0,0,0,0,sand,5,246750,195750,0
126,SG,250m,09/04/2020,VS_AP,Y,0,0,0,0,0,0,0,0,sand,5,246750,195500,0
127,SG,250m,09/04/2020,VS_AP,Y,0,0,0,0,0,0,0,0,sand,5,246750,195250,0
128,NE,250m,31/03/2020,VS_AP,Y,0,0,460,286,25,98,1,14,fine_sand,4,247000,200500,113
129,NC,250m,06/04/2020,VS_AP,Y,0,0,0,0,0,0,0,0,sand,5,247000,199000,0
130,ND,250m,29/03/2020,VS_AP,Y,0,0,0,0,0,0,0,0,sand,5,247000,198750,0
131,ND,250m,29/03/2020,VS_AP,N,,,,,,,,,channel,7,247000,198500,
132,ND,250m,29/03/2020,VS_AP,N,,,,,,,,,channel,7,247000,198250,
134,SF,250m,08/04/2020,VS_AP,N,,,,,,,,,channel,7,247000,196750,
135,SF,250m,08/04/2020,VS_AP,Y,0,0,0,0,0,0,0,0,sand,5,247000,196500,0
136,SF,250m,08/04/2020,VS_AP,Y,0,0,600,220,0,0,0,0,fine_sand,4,247000,196250,0
