length,y0,y1,y2,total
4,0,0,0,0
5,0,0,0,0
6,0,13,0,13
7,0,72,0,72
8,0,389,0,389
9,0,763,0,763
10,0,1211,0,1211
11,0,1268,0,1268
12,0,1094,4,1098
13,0,377,7,384
14,0,180,35,216
15,0,60,97,156
16,0,28,133,161
17,0,26,217,243
18,0,12,337,349
19,0,2,391,393
20,0,2,360,362
21,0,0,206,206
22,0,0,186,186
23,0,0,127,127
24,0,0,79,79
25,0,0,86,86
26,0,0,49,49
27,0,0,42,42
28,0,0,21,21
29,0,0,11,11
30,0,0,9,9
31,0,0,2,2
32,0,0,5,5
33,0,0,0,0
34,0,0,0,0
35,0,0,1,1
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
